1,3456789.123,456123.456,45.123
2,3456812.456,456234.567,46.234
3,3456835.789,456345.678,47.345
4,3456858.012,456456.789,48.456
5,3456881.345,456567.890,49.567
6,3456904.678,456678.901,50.678
7,3456927.901,456789.012,51.789
8,3456950.234,456890.123,52.890
9,3456973.567,456901.234,53.901
10,3456996.890,457012.345,54.012
11,3457019.123,457123.456,55.123
12,3457042.456,457234.567,56.234
13,3457065.789,457345.678,57.345
14,3457088.012,457456.789,58.456
15,3457111.345,457567.890,59.567
16,3457134.678,457678.901,60.678
17,3457157.901,457789.012,61.789
18,3457180.234,457890.123,62.890
